family,FamilyShort,Combination,blocks,blocks_display,Cases,OK,MedSolve,MedIter,MedE2E,MedSpd,"10,000",118,14,14K,1K,200,2K,"3,022","30,000",300,39,4K,5,"5,658",500,57,6K,"7,336","8,387",family_order,combo_order
oracle_ac_primal_dual,O-PD,$Q_g$,Qg,Qg,18,10,0.3008514642715454,60.5,0.3274350166320801,-49.5221805047036,\textbf{F},0.298/-71,0.039/-9,\textbf{F},15.650/-476,0.304/-28,15.495/-214,\textbf{F},\textbf{F},1.455/-198,0.072/-19,\textbf{F},0.024/-4,63.332/-323,\textbf{F},0.112/-18,\textbf{F},\textbf{F},,2,"(1, (3,), 'Qg')"
oracle_ac_primal_dual,O-PD,$V_a{+}V_m$,Vm+Va,Va+Vm,18,11,0.5672440528869629,108.0,0.5825610160827637,-126.27557641456966,\textbf{F},0.292/-68,0.033/7,\textbf{F},14.086/-418,0.567/-139,14.372/-191,\textbf{F},\textbf{F},1.106/-126,0.070/-15,\textbf{F},0.028/-22,61.359/-310,3.602/-323,0.148/-55,\textbf{F},\textbf{F},,2,"(2, (0, 1), 'Va+Vm')"
oracle_ac_primal_dual,O-PD,$V_a{+}P_g$,Pg+Va,Va+Pg,18,15,1.368736982345581,57.0,1.4127438068389893,-32.21167904766762,\textbf{F},0.199/-14,0.030/16,71.078/-58,5.104/-88,0.216/9,17.592/-257,7.487/17,\textbf{F},1.369/-180,0.084/-38,20.537/-32,0.018/19,15.160/-1,0.993/-17,0.201/-111,\textbf{F},26.425/-62,,2,"(2, (0, 2), 'Va+Pg')"
oracle_ac_primal_dual,O-PD,$V_a{+}Q_g$,Qg+Va,Va+Qg,18,11,0.291996955871582,87.0,0.3255410194396972,-66.45163587266859,\textbf{F},0.290/-66,0.032/11,\textbf{F},15.731/-479,0.292/-23,14.382/-192,\textbf{F},\textbf{F},2.355/-382,0.098/-62,\textbf{F},0.024/-3,61.633/-311,4.441/-421,0.125/-32,\textbf{F},\textbf{F},,2,"(2, (0, 3), 'Va+Qg')"
oracle_ac_primal_dual,O-PD,$V_m{+}P_g$,Pg+Vm,Vm+Pg,18,14,0.8220694065093994,45.5,0.8879934549331665,-37.044487360723096,\textbf{F},0.198/-14,0.029/20,\textbf{F},13.459/-395,0.216/9,7.461/-51,28.360/-216,\textbf{F},0.684/-40,0.068/-12,67.218/-333,0.031/-34,14.513/3,0.960/-13,0.137/-44,\textbf{F},32.362/-98,,2,"(2, (1, 2), 'Vm+Pg')"
oracle_ac_primal_dual,O-PD,$V_m{+}Q_g$,Qg+Vm,Vm+Qg,18,10,0.271436333656311,66.5,0.28816378116607666,-71.06275188104864,\textbf{F},0.243/-40,0.035/1,\textbf{F},\textbf{F},0.300/-26,13.951/-183,\textbf{F},\textbf{F},1.132/-132,0.101/-66,\textbf{F},0.022/5,55.697/-272,3.011/-253,0.168/-76,\textbf{F},\textbf{F},,2,"(2, (1, 3), 'Vm+Qg')"
oracle_ac_primal_dual,O-PD,$P_g{+}Q_g$,Pg+Qg,Pg+Qg,18,13,0.6138231754302979,58.0,0.682056188583374,-35.61372782880063,\textbf{F},0.236/-36,0.032/10,\textbf{F},12.180/-348,0.209/12,12.445/-152,\textbf{F},\textbf{F},0.614/-26,0.069/-14,49.377/-218,0.027/-19,\textbf{F},1.489/-75,0.193/-102,60.688/-32,64.296/-294,,2,"(2, (2, 3), 'Pg+Qg')"
oracle_ac_primal_dual,O-PD,$V_a{+}V_m{+}P_g$,Pg+Vm+Va,Va+Vm+Pg,18,15,1.2726759910583496,31.0,1.406318187713623,6.056740765589584,\textbf{F},0.171/2,0.027/24,\textbf{F},4.259/-57,0.223/6,7.070/-43,6.682/26,\textbf{F},1.273/-160,0.065/-6,11.900/23,0.019/18,12.299/18,0.869/-2,0.074/22,36.131/21,23.735/-46,,2,"(3, (0, 1, 2), 'Va+Vm+Pg')"
oracle_ac_primal_dual,O-PD,$V_a{+}V_m{+}Q_g$,Qg+Vm+Va,Va+Vm+Qg,18,10,0.28058159351348877,57.5,0.2909836769104004,-40.67300652842423,\textbf{F},0.265/-52,0.031/13,\textbf{F},\textbf{F},0.297/-25,19.502/-295,\textbf{F},\textbf{F},1.008/-106,0.077/-28,\textbf{F},0.020/13,58.597/-291,3.274/-284,0.123/-29,\textbf{F},\textbf{F},,2,"(3, (0, 1, 3), 'Va+Vm+Qg')"
oracle_ac_primal_dual,O-PD,$V_a{+}P_g{+}Q_g$,Pg+Qg+Va,Va+Pg+Qg,18,14,1.9833365678787231,49.5,2.0539910793304443,-10.458198253408067,\textbf{F},0.184/-5,0.029/20,\textbf{F},7.548/-178,0.190/20,6.906/-40,10.365/-15,\textbf{F},2.932/-500,0.051/16,15.744/-1,0.016/30,19.755/-32,1.035/-21,0.080/16,\textbf{F},28.380/-74,,2,"(3, (0, 2, 3), 'Va+Pg+Qg')"
oracle_ac_primal_dual,O-PD,$V_m{+}P_g{+}Q_g$,Pg+Qg+Vm,Vm+Pg+Qg,18,14,0.753371000289917,27.0,0.8058435916900635,3.162538982641586,\textbf{F},0.159/9,0.027/25,169.398/-276,13.303/-389,0.179/25,7.145/-45,30.043/-235,\textbf{F},0.659/-35,0.054/11,\textbf{F},0.017/24,10.698/29,0.848/1,0.090/6,\textbf{F},24.931/-53,,2,"(3, (1, 2, 3), 'Vm+Pg+Qg')"
oracle_ac_primal_dual,O-PD,$V_a{+}V_m{+}P_g{+}Q_g$,Pg+Qg+Vm+Va,Va+Vm+Pg+Qg,18,18,1.803743839263916,3.5,2.4108959436416626,47.578927078331944,11.308/63,0.119/32,0.027/24,17.136/62,1.337/51,0.167/30,2.270/54,4.601/49,38.037/77,0.272/44,0.040/34,4.883/69,0.019/19,8.028/46,0.486/43,0.071/25,8.511/81,8.317/49,,2,"(4, (0, 1, 2, 3), 'Va+Vm+Pg+Qg')"
oracle_ac_constraint_dual,O-CD,$V_a$,Va,Va,18,14,1.3390800952911377,89.0,1.4113595485687256,-41.90352112822817,\textbf{F},0.194/-11,0.033/7,\textbf{F},6.723/-147,0.234/1,10.001/-103,\textbf{F},\textbf{F},1.243/-154,0.070/-15,48.125/-210,0.017/24,28.366/-89,1.436/-68,0.088/8,43.258/6,76.200/-367,,3,"(1, (0,), 'Va')"
oracle_ac_constraint_dual,O-CD,$V_m$,Vm,Vm,18,14,1.4413299560546875,81.0,1.5144588947296143,-45.93071833608717,\textbf{F},0.208/-20,0.033/8,\textbf{F},7.673/-182,0.223/6,7.334/-49,\textbf{F},\textbf{F},1.289/-164,0.079/-30,70.327/-353,0.023/-1,31.711/-112,1.593/-87,0.086/10,65.605/-43,49.123/-201,,3,"(1, (1,), 'Vm')"
oracle_ac_constraint_dual,O-CD,$P_g$,Pg,Pg,18,15,1.6346619129180908,42.0,1.679093837738037,-17.44054124382002,81.437/-169,0.208/-19,0.034/3,\textbf{F},9.919/-265,0.197/17,5.370/-9,26.825/-199,\textbf{F},1.298/-166,0.066/-9,16.022/-3,0.027/-17,13.932/7,1.635/-92,0.086/10,\textbf{F},19.238/-18,,3,"(1, (2,), 'Pg')"
oracle_ac_constraint_dual,O-CD,$Q_g$,Qg,Qg,18,13,0.6117360591888428,63.0,0.6651909351348877,-39.0618431484781,\textbf{F},0.242/-39,0.029/18,\textbf{F},11.728/-331,0.237/0,7.545/-53,\textbf{F},\textbf{F},0.612/-25,0.065/-8,61.140/-294,0.025/-8,29.645/-98,2.782/-226,0.105/-10,\textbf{F},45.044/-176,,3,"(1, (3,), 'Qg')"
oracle_ac_constraint_dual,O-CD,$V_a{+}V_m$,Vm+Va,Va+Vm,18,13,0.9249539375305176,90.0,0.9640469551086426,-89.26976104286398,\textbf{F},0.256/-47,0.029/19,\textbf{F},6.473/-138,0.429/-81,12.135/-146,\textbf{F},\textbf{F},0.925/-89,0.100/-64,68.701/-342,0.030/-29,31.916/-113,1.979/-132,0.077/20,\textbf{F},71.936/-341,,3,"(2, (0, 1), 'Va+Vm')"
