family,block,n_with,n_without,avg_solve_with,avg_solve_without,pct_better_when_included,family_label
oracle_ac_primal_only,Va,144,122,16.895012140274048,25.89014310524112,34.74345788048628,Oracle AC primal-only
oracle_ac_primal_only,Vm,141,125,17.12663220513797,25.412992528915407,32.60678691952179,Oracle AC primal-only
oracle_ac_primal_only,Pg,143,123,17.974707033250716,24.56175692100835,26.81831722763915,Oracle AC primal-only
oracle_ac_primal_only,Qg,141,125,22.621768018032643,19.214479331970214,-17.73292227800925,Oracle AC primal-only
oracle_ac_primal_dual,Va,106,84,8.530227258520306,13.532526822317214,36.96500756641656,Oracle AC primal+dual
oracle_ac_primal_dual,Vm,102,88,9.490987307885113,12.191541330380874,22.151046773438555,Oracle AC primal+dual
oracle_ac_primal_dual,Pg,116,74,11.676984848647281,9.275758108577213,-25.887121159937056,Oracle AC primal+dual
oracle_ac_primal_dual,Qg,100,90,10.122839982509612,11.429470491409301,11.432117611063326,Oracle AC primal+dual
oracle_ac_constraint_dual,Va,117,100,11.753928555382622,12.4081214761734,5.272296229908674,Oracle AC constraint-dual-only
oracle_ac_constraint_dual,Vm,117,100,12.268342454209288,11.806257214546203,-3.9139011734706246,Oracle AC constraint-dual-only
oracle_ac_constraint_dual,Pg,125,92,10.296997749328613,14.444533368815547,28.713531365721316,Oracle AC constraint-dual-only
oracle_ac_constraint_dual,Qg,114,103,10.784741865961175,13.461759377451775,19.886089451090328,Oracle AC constraint-dual-only
oracle_ac_bounds_dual,Va,106,82,10.749389702419066,8.541370714583048,-25.850874076524665,Oracle AC bounds-dual-only
oracle_ac_bounds_dual,Vm,102,86,10.868117241298451,8.503252888834753,-27.811290377696483,Oracle AC bounds-dual-only
oracle_ac_bounds_dual,Pg,110,78,9.667423649267716,9.953988533753614,2.8788950631615355,Oracle AC bounds-dual-only
oracle_ac_bounds_dual,Qg,98,90,9.075084114561276,10.560771820280287,14.067984149283323,Oracle AC bounds-dual-only
oracle_ac_primal_dual_all_bounds,Va,140,105,10.087014165946416,14.264590785616921,29.286340438751196,Oracle AC primal+dual (all bounds)
oracle_ac_primal_dual_all_bounds,Vm,131,114,10.707268935123473,13.222033203693858,19.01949745420267,Oracle AC primal+dual (all bounds)
oracle_ac_primal_dual_all_bounds,Pg,131,114,13.907989827731184,9.544011827100787,-45.72477569902651,Oracle AC primal+dual (all bounds)
oracle_ac_primal_dual_all_bounds,Qg,127,118,9.682407886024535,14.239815374552194,32.00468102045865,Oracle AC primal+dual (all bounds)
dc_seed,Va,35,17,16.518636901038033,17.824666584239285,7.327091797363854,DC-seeded
dc_seed,Vm,0,52,,16.94560814362306,,DC-seeded
dc_seed,Pg,35,17,18.266614253180368,14.225889682769775,-28.404020138752156,DC-seeded
dc_seed,Qg,0,52,,16.94560814362306,,DC-seeded
