family,FamilyShort,Combination,blocks,blocks_display,Cases,OK,MedSolve,MedIter,MedE2E,MedSpd,"10,000",118,14,14K,1K,200,2K,"3,022","30,000",300,39,4K,5,"5,658",500,57,6K,"7,336","8,387",family_order,combo_order
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_m$,Vm,Vm,18,16,2.768085479736328,19.0,3.011299967765808,-5.129597218869199,83.035/-174/246,0.161/7/19,0.034/6/6,\textbf{F},8.541/-214/177,0.180/24/5,3.461/30/19,24.884/-177/243,\textbf{F},2.075/-325/63,0.076/-24/16,9.798/37/16,0.027/-16/43,11.494/23/19,0.753/12/18,0.073/24/12,61.624/-34/255,18.901/-16/44,,5,"(1, (1,), 'Vm')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$P_g$,Pg,Pg,18,17,3.2147128582000732,30.0,3.985234022140503,-3.2349726775953886,89.731/-196/250,0.169/3/18,0.030/17/7,145.344/-223/239,13.108/-382/263,0.171/28/5,3.215/35/17,27.106/-202/277,\textbf{F},0.624/-28/54,0.062/-1/35,16.828/-8/50,0.024/-3/20,8.212/45/12,1.060/-24/28,0.065/32/8,65.523/-43/245,15.223/7/30,,5,"(1, (2,), 'Pg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$Q_g$,Qg,Qg,18,14,1.2326589822769165,35.0,1.402155876159668,-4.210523108395954,\textbf{F},0.221/-27/33,0.034/4/6,\textbf{F},7.026/-158/135,0.179/25/7,4.823/2/39,25.911/-189/260,\textbf{F},0.719/-47/39,0.094/-54/37,9.958/36/20,0.023/-1/16,8.216/45/11,1.746/-105/37,0.065/32/7,\textbf{F},17.599/-8/39,,5,"(1, (3,), 'Qg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_a{+}V_m$,Vm+Va,Va+Vm,18,17,1.425807237625122,4.0,1.828705072402954,45.407954179554494,13.954/54/10,0.127/27/3,0.029/19/3,\textbf{F},1.426/48/6,0.169/29/3,2.331/53/4,3.269/64/10,50.004/70/24,0.267/45/3,0.174/-186/3,6.318/59/4,0.017/28/3,8.476/43/5,0.485/43/4,0.066/31/3,6.813/85/6,8.482/48/5,,5,"(2, (0, 1), 'Va+Vm')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_a{+}P_g$,Pg+Va,Va+Pg,18,18,2.0007710456848145,8.5,2.589722514152527,32.79847133466927,18.168/40/26,0.127/27/5,0.028/22/7,159.252/-254/259,1.555/43/10,0.172/28/4,2.446/50/5,3.566/60/14,57.566/65/34,0.298/39/6,0.045/26/5,6.900/56/10,0.017/27/6,7.766/48/9,0.534/37/8,0.070/27/6,43.930/4/183,11.707/28/17,,5,"(2, (0, 2), 'Va+Pg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_a{+}Q_g$,Qg+Va,Va+Qg,18,17,1.6442348957061768,7.0,2.058666944503784,33.41035649232393,43.541/-44/96,0.128/27/5,0.030/16/5,\textbf{F},1.644/40/12,0.170/28/4,2.718/45/10,3.685/59/16,82.818/50/58,0.290/41/7,0.111/-83/7,5.673/63/7,0.015/33/5,8.853/41/6,0.557/35/10,0.065/32/5,46.133/-1/194,12.934/21/21,,5,"(2, (0, 3), 'Va+Qg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_m{+}P_g$,Pg+Vm,Vm+Pg,18,15,1.147808074951172,21.0,1.1970939636230469,4.723374363089395,101.736/-235/300,0.166/5/19,0.028/20/8,\textbf{F},9.134/-236/190,0.174/27/5,3.520/29/21,25.564/-185/245,\textbf{F},0.722/-48/64,0.053/13/13,29.422/-89/98,0.020/14/20,11.793/21/20,1.148/-35/53,0.066/31/7,\textbf{F},19.814/-21/47,,5,"(2, (1, 2), 'Vm+Pg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_m{+}Q_g$,Qg+Vm,Vm+Qg,18,15,0.7916700839996338,35.0,0.8685839176177979,-11.066964590631008,\textbf{F},0.163/6/18,0.032/11/7,\textbf{F},9.260/-241/194,0.177/26/6,5.682/-15/49,26.798/-199/260,\textbf{F},0.543/-11/47,0.189/-211/35,8.380/46/14,0.027/-18/41,10.118/32/18,0.792/7/26,0.073/24/12,74.129/-62/276,24.764/-52/65,,5,"(2, (1, 3), 'Vm+Qg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$P_g{+}Q_g$,Pg+Qg,Pg+Qg,18,14,0.8735944032669067,32.0,0.9903014898300171,-7.313791190870732,79.677/-163/234,0.146/16/13,0.029/17/8,\textbf{F},7.352/-170/143,0.184/23/8,4.782/3/40,\textbf{F},\textbf{F},0.742/-52/36,0.060/2/28,61.055/-293/184,0.027/-17/22,10.198/32/12,1.005/-18/42,0.065/32/8,\textbf{F},25.630/-57/64,,5,"(2, (2, 3), 'Pg+Qg')"
oracle_ac_primal_dual_all_bounds,O-PD-AB,$V_a{+}V_m{+}P_g$,Pg+Vm+Va,Va+Vm+Pg,18,18,1.835580587387085,4.0,2.2645552158355713,46.754054172494136,13.564/55/9,0.128/26/3,0.027/24/2,151.529/-237/240,1.345/51/5,0.168/29/3,2.326/53/4,4.135/54/10,40.842/75/15,0.265/46/3,0.068/-13/3,6.623/57/4,0.020/14/3,7.584/49/5,0.479/44/4,0.064/33/3,6.824/85/6,8.526/48/5,,5,"(3, (0, 1, 2), 'Va+Vm+Pg')"
