case_name,nb,nl,baseline_solve_time,baseline_total_time,baseline_iter,best_o_po_run,best_o_po_blocks,best_o_po_time_s,best_o_po_iter,best_o_po_speedup_pct,best_o_pd_run,best_o_pd_blocks,best_o_pd_time_s,best_o_pd_iter,best_o_pd_speedup_pct,best_o_cd_run,best_o_cd_blocks,best_o_cd_time_s,best_o_cd_iter,best_o_cd_speedup_pct,best_o_bd_run,best_o_bd_blocks,best_o_bd_time_s,best_o_bd_iter,best_o_bd_speedup_pct,best_o_pd_ab_run,best_o_pd_ab_blocks,best_o_pd_ab_time_s,best_o_pd_ab_iter,best_o_pd_ab_speedup_pct,best_dc_solve_run,best_dc_solve_blocks,best_dc_solve_time_s,best_dc_solve_iter,best_dc_solve_speedup_pct,best_dc_e2e_run,best_dc_e2e_blocks,best_dc_e2e_time_s,best_dc_e2e_iter,best_dc_e2e_speedup_pct,best_do_c_time_s,best_do_c_speedup_pct,best_do_b_time_s,best_do_b_speedup_pct,best_do_f_time_s,best_do_f_speedup_pct,best_overall_speedup_pct,best_oracle_po_time_s,best_oracle_po_speedup_pct,best_oracle_pd_time_s,best_oracle_pd_speedup_pct
pglib_opf_case3022_goc,3022,4135,8.974912166595459,9.33607006072998,53,oracle_ac_primal_only__Pg_Vm_Va,Pg+Vm+Va,5.839343070983887,43,34.937044924875494,oracle_ac_primal_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,4.600553035736084,9,48.73985449284618,oracle_ac_constraint_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,5.11176323890686,12,43.04386333792996,oracle_ac_bounds_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,13.26911187171936,109.0,-47.846704518255606,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,3.109109878540039,9,65.35776817836594,dc_seed__Va,Va,6.528822183609009,51,27.25475121740773,dc_seed__Va,Va,7.961561679840088,51,14.722558549249156,,,,,22.700690031051636,-152.93495479034766,65.35776817836594,5.839343070983887,34.937044924875494,4.600553035736084,48.73985449284618
pglib_opf_case4020_goc,4020,6988,15.533698081970217,16.372291088104248,57,oracle_ac_primal_only__Pg_Va,Pg+Va,9.273674011230469,31,40.299637843519605,oracle_ac_primal_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,4.883360862731934,4,68.56279272995532,oracle_ac_constraint_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,5.285137891769409,6,65.97630606774953,oracle_ac_bounds_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,4.928529739379883,5.0,68.2720127984181,oracle_ac_primal_dual_all_bounds__Qg_Vm_Va,Qg+Vm+Va,4.952092170715332,4,68.12032688814026,dc_seed__Pg_Va,Pg+Va,12.020715951919556,38,22.615233742235137,dc_seed__Pg,Pg,14.96051573753357,40,8.622955351657803,,,8.302353143692017,46.55262964503951,9.278929948806764,40.26580213003682,68.56279272995532,9.273674011230469,40.299637843519605,4.883360862731934,68.56279272995532
pglib_opf_case5658_epigrids,5658,9078,14.982439756393433,15.78292989730835,40,oracle_ac_primal_only__Pg_Va,Pg+Va,11.639286041259766,32,22.31381383467301,oracle_ac_primal_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,8.027890920639038,4,46.41799966381771,oracle_ac_constraint_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,6.702764987945557,5,55.2625266850461,oracle_ac_bounds_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,9.75612497329712,11.0,34.88293541020978,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,6.579198837280273,4,56.087266531655885,dc_seed__Pg_Va,Pg+Va,11.941505908966064,32,20.296653261226798,dc_seed__Pg_Va,Pg+Va,18.19981098175049,32,-15.313259959763986,25.834429025650024,-72.43138931778944,8.92445707321167,40.43388648098284,9.780910968780518,34.717501769985596,56.087266531655885,11.639286041259766,22.31381383467301,8.027890920639038,46.41799966381771
pglib_opf_case6468_rte,6468,9000,45.821640968322754,46.69372200965881,149,oracle_ac_primal_only__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,11.728250980377195,33,74.40455921584055,oracle_ac_primal_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,8.51145887374878,4,81.42480562921592,oracle_ac_constraint_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,8.342155933380127,11,81.79428812000165,oracle_ac_bounds_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,9.721194982528688,19.0,78.78470788671862,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,6.541309833526611,4,85.724409481431,dc_seed__Pg_Va,Pg+Va,58.6665780544281,250,-28.032468533777,dc_seed__Pg_Va,Pg+Va,61.964619874954224,250,-32.70439195688139,52.031834840774536,-13.552971349814797,,,,,85.724409481431,11.728250980377195,74.40455921584055,8.51145887374878,81.42480562921592
pglib_opf_case7336_epigrids,7336,11521,16.311914205551147,18.848242044448853,41,oracle_ac_primal_only__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,13.90251088142395,29,14.770819008521068,oracle_ac_primal_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,8.316787004470825,4,49.01403416135846,oracle_ac_constraint_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,8.972153902053833,6,44.996315030884006,oracle_ac_bounds_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,17.34017014503479,35.0,-6.303711057612811,oracle_ac_primal_dual_all_bounds__Qg_Vm_Va,Qg+Vm+Va,8.416162967681885,4,48.40481097664332,dc_seed__Pg_Va,Pg+Va,15.20408296585083,34,6.791546508522639,dc_seed__Pg,Pg,20.844050884246823,40,-10.588832821073474,37.33772587776184,-128.8984935014883,22.308218002319336,-36.76027056792373,15.687570095062256,3.8275342956157745,49.01403416135846,13.90251088142395,14.770819008521068,8.316787004470825,49.01403416135846
pglib_opf_case10000_goc,10000,13193,30.32571601867676,33.03581380844116,79,oracle_ac_primal_only__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,23.84340238571167,50,21.37563257854428,oracle_ac_primal_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,11.308288097381592,8,62.71056521660649,oracle_ac_constraint_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,11.432042121887209,9,62.3024824381837,oracle_ac_bounds_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,62.73171520233154,175.0,-106.85979900259184,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,11.200982093811035,8,63.064410129961445,dc_seed__Va,Va,27.365476846694943,64,9.761481543119015,dc_seed__Va,Va,34.36956477165222,64,-4.037288050310616,,,61.61593508720398,-103.1804790668634,,,63.064410129961445,23.84340238571167,21.37563257854428,11.308288097381592,62.71056521660649
pglib_opf_case13659_pegase,13659,20467,45.01408386230469,48.007209062576294,66,oracle_ac_primal_only__Pg_Qg_Va,Pg+Qg+Va,34.94896101951599,47,22.35994155424175,oracle_ac_primal_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,17.135863780975342,5,61.93221696260021,oracle_ac_constraint_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,18.378366947174072,8,59.17196270528938,oracle_ac_bounds_dual__Pg_Vm_Va,Pg+Vm+Va,134.31756591796875,241.0,-198.3900912630765,oracle_ac_primal_dual_all_bounds__Qg_Vm_Va,Qg+Vm+Va,17.204380750656128,5,61.78000466857602,dc_seed__Pg_Va,Pg+Va,37.47613191604614,52,16.745763324466797,dc_seed__Pg_Va,Pg+Va,49.37718391418457,52,-2.8536856825451893,,,,,,,61.93221696260021,34.94896101951599,22.35994155424175,17.135863780975342,61.93221696260021
pglib_opf_case30000_goc,30000,35393,165.3832447528839,173.80387568473816,188,oracle_ac_primal_only__Qg_Vm_Va,Qg+Vm+Va,100.28216576576231,103,39.3637693373327,oracle_ac_primal_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,38.03726387023926,12,77.00053356246902,oracle_ac_constraint_dual__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,41.638689041137695,16,74.82290959803434,,,,,,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,Pg+Qg+Vm+Va,38.63155579566955,12,76.64119128065667,dc_seed__Va,Va,107.18385004997252,110,35.19062332455327,dc_seed__Va,Va,129.39011192321777,110,25.553954758800806,,,,,,,77.00053356246902,100.28216576576231,39.3637693373327,38.03726387023926,77.00053356246902
