Combination,Converged,Median solve [s],Median E2E [s],Median iter,Case wins
Va,17,2.629779815673828,3.2389678955078125,38.0,3
Pg,17,2.8555450439453125,3.4338090419769287,40.0,6
Pg+Va,18,4.008045077323914,4.628035068511963,33.5,9
