timestamp_utc,case_file,case_name,run_name,family,dual_mode,seed_source,is_oracle,is_practical,blocks,num_blocks,seed_vm_policy,seed_qg_policy,termination,status,success,objective,objective_gap_vs_baseline_abs,objective_gap_vs_baseline_rel,objective_matches_baseline,shared_case_prep_time,build_time,solve_time,total_time,end_to_end_time,full_pipeline_time_including_shared_case_prep,log_path,hit_max_iter,iterations,dual_inf,constr_viol,var_bound_viol,compl_inf,overall_nlp_error,ipopt_reported_total_sec,ipopt_cpu_sec_no_func_eval,ipopt_cpu_sec_func_eval,ipopt_cpu_total_est,restoration_used,baseMVA,nb,nl,ng_total,ng_active,n_load_buses,n_ref_buses,n_pv_buses,n_pq_buses,total_pd_mw,total_qd_mvar,sum_pmax_mw,sum_pmin_mw,sum_qmax_mvar,sum_qmin_mvar,n_branch_with_limits,n_branch_out_of_service,gencost_any_pwl,gencost_max_poly_degree,gencost_any_quadratic,objective_value,total_pg_mw,total_qg_mvar,vm_min,vm_max,vm_mean,vm_std,va_min_rad,va_max_rad,va_mean_rad,va_std_rad,max_line_mva_from,max_line_mva_to,mean_line_mva_from,mean_line_mva_to,max_thermal_util_from,max_thermal_util_to,mean_thermal_util_from,mean_thermal_util_to,max_flow_limit_violation_sq_from,max_flow_limit_violation_sq_to,n_pg_at_lb,n_pg_at_ub,n_qg_at_lb,n_qg_at_ub,n_vm_at_lb,n_vm_at_ub,init_has_Pg,init_Pg_l2,init_Pg_linf,init_Pg_mean_abs,init_Pg_median_abs,init_Pg_max_abs,init_has_Qg,init_Qg_l2,init_Qg_linf,init_Qg_mean_abs,init_Qg_median_abs,init_Qg_max_abs,init_has_Vm,init_Vm_l2,init_Vm_linf,init_Vm_mean_abs,init_Vm_median_abs,init_Vm_max_abs,init_has_Va,init_Va_l2,init_Va_linf,init_Va_mean_abs,init_Va_median_abs,init_Va_max_abs,init_has_duals,init_has_constraint_duals,init_has_bound_mults,dist_to_baseline_Pg_l2,dist_to_baseline_Pg_linf,dist_to_baseline_Pg_mean_abs,dist_to_baseline_Pg_median_abs,dist_to_baseline_Pg_max_abs,dist_to_baseline_Qg_l2,dist_to_baseline_Qg_linf,dist_to_baseline_Qg_mean_abs,dist_to_baseline_Qg_median_abs,dist_to_baseline_Qg_max_abs,dist_to_baseline_Vm_l2,dist_to_baseline_Vm_linf,dist_to_baseline_Vm_mean_abs,dist_to_baseline_Vm_median_abs,dist_to_baseline_Vm_max_abs,dist_to_baseline_Va_l2,dist_to_baseline_Va_linf,dist_to_baseline_Va_mean_abs,dist_to_baseline_Va_median_abs,dist_to_baseline_Va_max_abs,dc_seed_mode,dc_solver,dc_solver_problem_type,dc_termination,dc_status,dc_build_time,dc_solve_time,dc_total_time,dc_objective
2026-03-22T16:02:04Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,baseline_default,baseline,none,case_default,0,1,,0,,,optimal,ok,1,9276.255499670158,,,,0.09752106666564941,0.8385930061340332,15.533698081970215,16.372291088104248,16.372291088104248,16.469812154769897,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/baseline_default.log,0,57,2.5685075861202527e-07,7.822941393828593e-12,1.2866364684782639e-07,9.12746261476507e-08,2.5685075861202527e-07,11.51,,,11.51,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907613,42379.71658204738,2609.467710041921,1.0122708486475838,1.1000000107720955,1.0690162569851003,0.01695442829253142,-0.5459448160180107,-3.7404675008009327e-28,-0.32405126073375223,0.09710094523518317,1379.1491354516093,1378.9375417761512,43.61781928655789,43.64496424497165,0.84011513006778,0.8390937715320096,0.1904788434259778,0.19026372137074166,0.0,0.0,41,336,29,36,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22T16:02:14Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Pg,oracle_ac_primal_only,none,ac_true,1,0,Pg,1,,,optimal,ok,1,9276.255499670271,812971.0319911011,87.64000000000091,0,0.09752106666564941,1.0173277854919434,9.810319900512695,10.827647686004639,10.827647686004639,10.925168752670288,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Pg.log,0,36,2.568460711605739e-07,7.799284148288208e-12,1.2866364684782639e-07,9.127462614793372e-08,2.568460711605739e-07,6.114,,,6.114,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907713,42379.71658204751,2609.4677100400377,1.0122708486475758,1.1000000107720955,1.0690162569850958,0.01695442829252777,-0.5459448160180391,-4.640163855594841e-28,-0.3240512607337802,0.0971009452351807,1379.1491354516306,1378.9375417761762,43.61781928655748,43.64496424497127,0.8401151300677774,0.8390937715320071,0.1904788434259759,0.19026372137073985,0.0,0.0,41,336,29,36,0,13,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,0,0,0,1.3347101202043632e-12,1.3347101202043632e-12,3.791790114216941e-15,0.0,1.3347101202043632e-12,2.3030839456657125e-11,1.6251222589858116e-11,4.1430157324084443e-13,7.474576513288866e-14,1.6251222589858116e-11,1.2679051228116662e-12,1.3322676295501878e-13,1.4637323967596573e-14,1.1546319456101628e-14,1.3322676295501878e-13,1.7962868638649026e-12,4.807265696626928e-14,2.79879802308055e-14,2.7755575615628914e-14,4.807265696626928e-14,,,,,,,,,
2026-03-22T16:02:31Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Qg,oracle_ac_primal_only,none,ac_true,1,0,Qg,1,,,optimal,ok,1,9276.255499670184,812971.0319910933,87.64000000000007,0,0.09752106666564941,3.026270866394043,13.626972913742065,16.65324378013611,16.65324378013611,16.750764846801758,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Qg.log,0,57,2.5685226465752424e-07,7.800427598344892e-12,1.2866364684782639e-07,9.127462614755914e-08,2.5685226465752424e-07,9.745,,,9.745,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907635,42379.71658204741,2609.4677100398153,1.012270848647536,1.1000000107720955,1.0690162569850967,0.016954428292528752,-0.545944816018097,2.217827763148662e-28,-0.32405126073383733,0.09710094523518108,1379.1491354517186,1378.937541776274,43.61781928655815,43.644964244972115,0.840115130067765,0.8390937715320004,0.19047884342597748,0.19026372137074168,0.0,0.0,41,336,29,36,0,13,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,0,0,2.9465319073551655e-13,2.9465319073551655e-13,8.370829282258993e-16,0.0,2.9465319073551655e-13,3.340339436262382e-11,1.3631096251742747e-11,7.497756262917438e-13,1.4618167787361358e-13,1.3631096251742747e-11,2.5119644815179925e-12,3.5837999234900053e-13,2.7755575615628914e-14,2.5091040356528538e-14,3.5837999234900053e-13,5.414383584698536e-12,1.1640688413194766e-13,8.518206869552645e-14,8.526512829121202e-14,1.1640688413194766e-13,,,,,,,,,
2026-03-22T16:02:48Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Vm,oracle_ac_primal_only,none,ac_true,1,0,Vm,1,,,optimal,ok,1,9276.25549967019,812971.0319910939,87.64000000000013,0,0.09752106666564941,1.6484322547912598,15.072322845458984,16.720755100250244,16.720755100250244,16.818276166915894,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Vm.log,0,55,2.5664302042936227e-07,7.252888830707161e-12,1.2866364684782639e-07,9.128525040193327e-08,2.5664302042936227e-07,11.43,,,11.43,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.287490764,42379.71658204742,2609.467710048425,1.0122708486469654,1.1000000107720955,1.0690162569849755,0.01695442829249815,-0.5459448160180811,6.000224823445959e-28,-0.32405126073378027,0.09710094523522779,1379.149135451391,1378.9375417759145,43.6178192866734,43.64496424508975,0.8401151300677739,0.8390937715320077,0.19047884342608756,0.19026372137085176,0.0,0.0,41,336,29,36,0,13,0,,,,,,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,0,0,3.8058447006285926e-13,3.8058445284150366e-13,1.0816099436549255e-15,0.0,3.8058445284150366e-13,0.000774861347672158,0.0007132266853766556,4.3882494604360755e-06,2.0080569151925687e-12,0.0007132266853766556,3.676111198344023e-11,4.623634808353927e-12,2.142581855440172e-13,4.6407322429331543e-14,4.623634808353927e-12,5.274817075283232e-12,9.402201239794294e-13,6.372421937833964e-14,5.789813073420191e-14,9.402201239794294e-13,,,,,,,,,
2026-03-22T16:03:05Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Va,oracle_ac_primal_only,none,ac_true,1,0,Va,1,,,optimal,ok,1,9276.255499670286,812971.0319911024,87.64000000000105,0,0.09752106666564941,2.018563985824585,15.316695928573608,17.335259914398193,17.335259914398193,17.432780981063843,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Va.log,0,56,2.566396014715032e-07,7.814152675693482e-12,1.2866364684782639e-07,9.128525038909599e-08,2.566396014715032e-07,11.625,,,11.625,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907725,42379.71658204753,2609.467710045966,1.0122708486469854,1.1000000107720955,1.069016256984971,0.016954428292497332,-0.5459448160180905,6.494994822025791e-27,-0.3240512607337888,0.09710094523522356,1379.1491354513998,1378.937541775924,43.61781928667503,43.64496424509101,0.8401151300677793,0.8390937715320128,0.19047884342608926,0.19026372137085307,0.0,0.0,41,336,29,36,0,13,0,,,,,,0,,,,,,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1.5130119422910395e-12,1.5130119379591633e-12,4.298733480921004e-15,0.0,1.5130119379591633e-12,0.0007748609289779055,0.0007132262988922555,4.388247142348667e-06,2.5376367673857203e-12,0.0007132262988922555,3.702942415562957e-11,4.6558312760680565e-12,2.2526673727038e-13,5.773159728050814e-14,4.6558312760680565e-12,5.468376143934716e-12,9.358902541833913e-13,6.865722059425419e-14,6.158962229108056e-14,9.358902541833913e-13,,,,,,,,,
2026-03-22T16:03:18Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Pg_Qg,oracle_ac_primal_only,none,ac_true,1,0,Pg+Qg,2,,,optimal,ok,1,9276.255499670231,812971.0319910975,87.64000000000053,0,0.09752106666564941,1.6356761455535889,11.51835298538208,13.154029130935669,13.154029130935669,13.251550197601318,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Pg_Qg.log,0,36,2.5685446328590593e-07,7.81380296991181e-12,1.2866364684782639e-07,9.12746261477555e-08,2.5685446328590593e-07,7.847,,,7.847,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907677,42379.71658204747,2609.467710041436,1.01227084864758,1.1000000107720955,1.0690162569850943,0.01695442829252974,-0.545944816018041,-1.7521377087843564e-27,-0.3240512607337838,0.09710094523518058,1379.149135451607,1378.9375417761526,43.61781928655793,43.64496424497173,0.8401151300677724,0.839093771532005,0.19047884342597735,0.19026372137074127,0.0,0.0,41,336,29,36,0,13,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,0,0,8.641976023682219e-13,8.641976023682219e-13,2.455106824909721e-15,0.0,8.641976023682219e-13,2.400950010567984e-11,1.262723259287668e-11,4.5053670883205754e-13,6.006306563222097e-14,1.262723259287668e-11,1.6430089376459934e-12,2.0161650127192843e-13,1.6859924180924518e-14,1.0658141036401503e-14,2.0161650127192843e-13,2.025272651737606e-12,4.268807529683727e-14,3.1616800802643584e-14,3.2529534621517087e-14,4.268807529683727e-14,,,,,,,,,
2026-03-22T16:03:30Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Pg_Vm,oracle_ac_primal_only,none,ac_true,1,0,Pg+Vm,2,,,optimal,ok,1,9276.25549967029,812971.0319911027,87.64000000000108,0,0.09752106666564941,1.738739013671875,9.460286855697632,11.199025869369507,11.199025869369507,11.296546936035156,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Pg_Vm.log,0,33,2.5664041025216346e-07,7.267368661409295e-12,1.2866364684782639e-07,9.128550621090753e-08,2.5664041025216346e-07,5.765,,,5.765,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907729,42379.716582047535,2609.4677100431268,1.0122708486469651,1.1000000107720955,1.0690162569849693,0.016954428292496052,-0.545944816018128,-4.528376112528232e-27,-0.324051260733825,0.09710094523522725,1379.149135451467,1378.9375417759993,43.61781928667679,43.64496424509309,0.8401151300677692,0.8390937715319994,0.19047884342609087,0.19026372137085498,0.0,0.0,41,336,29,36,0,13,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,0,0,1.5581980192676636e-12,1.5581980150614072e-12,4.427103018143288e-15,0.0,1.5581980150614072e-12,0.0007789400575450596,0.0007168267956241259,4.416665479196736e-06,1.934272186865371e-12,0.0007168267956241259,3.748730910368543e-11,4.700240197053063e-12,2.24318684136317e-13,5.284661597215745e-14,4.700240197053063e-12,6.833242869619561e-12,9.110628917952113e-13,9.413981134156634e-14,1.0091927293842673e-13,9.110628917952113e-13,,,,,,,,,
2026-03-22T16:03:42Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Pg_Va,oracle_ac_primal_only,none,ac_true,1,0,Pg+Va,2,,,optimal,ok,1,9276.25549967025,812971.0319910992,87.64000000000071,0,0.09752106666564941,3.1009600162506104,9.273674011230469,12.374634027481079,12.374634027481079,12.472155094146729,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Pg_Va.log,0,31,2.56638770940124e-07,7.778451660026663e-12,1.2866364684782639e-07,9.128525040702024e-08,2.56638770940124e-07,5.418,,,5.418,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907694,42379.71658204749,2609.4677100444774,1.0122708486469558,1.1000000107720955,1.0690162569849697,0.016954428292495098,-0.5459448160181458,2.500248715347217e-27,-0.3240512607338386,0.09710094523522547,1379.1491354514762,1378.937541776008,43.617819286675484,43.64496424509164,0.8401151300677767,0.8390937715320099,0.19047884342608895,0.190263721370853,0.0,0.0,41,336,29,36,0,13,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,0,0,1.089683904684345e-12,1.0896838986695911e-12,3.0960970056665375e-15,0.0,1.0896838986695911e-12,0.0007748625440619493,0.0007132277895557371,4.388256387115807e-06,2.5269092374102797e-12,0.0007132277895557371,3.739777002503921e-11,4.6558312760680565e-12,2.3770134561613446e-13,6.961098364399732e-14,4.6558312760680565e-12,7.447229531859699e-12,8.87526163673158e-13,1.0502523222299501e-13,1.1274314815068465e-13,8.87526163673158e-13,,,,,,,,,
2026-03-22T16:03:59Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Qg_Vm,oracle_ac_primal_only,none,ac_true,1,0,Qg+Vm,2,,,optimal,ok,1,9276.255499670255,812971.0319910996,87.64000000000074,0,0.09752106666564941,1.6280910968780518,15.074753761291504,16.702844858169556,16.702844858169556,16.800365924835205,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Qg_Vm.log,0,55,2.566349008140632e-07,7.245530928230592e-12,1.2866364684782639e-07,9.12852504019885e-08,2.566349008140632e-07,9.872,,,9.872,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907698,42379.7165820475,2609.467710044671,1.0122708486469576,1.1000000107720955,1.06901625698497,0.016954428292496517,-0.5459448160181293,-7.072069656237408e-27,-0.3240512607338284,0.09710094523522629,1379.149135451511,1378.937541776044,43.61781928667425,43.64496424509058,0.840115130067776,0.8390937715320094,0.19047884342608898,0.19026372137085312,0.0,0.0,41,336,29,36,0,13,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,0,0,1.1417533642649629e-12,1.141753358524511e-12,3.244021607527105e-15,0.0,1.141753358524511e-12,0.0007748613494264322,0.0007132266869972481,4.3882494512428694e-06,1.881770780864933e-12,0.0007132266869972481,3.7501467620611144e-11,4.703570866126938e-12,2.2158499468682703e-13,4.796163466380676e-14,4.703570866126938e-12,6.944732577490495e-12,9.084330510056304e-13,9.622937638826347e-14,1.031952301389083e-13,9.084330510056304e-13,,,,,,,,,
2026-03-22T16:04:15Z,test_cases/pglib_opf_case4020_goc.mat,pglib_opf_case4020_goc,oracle_ac_primal_only__Qg_Va,oracle_ac_primal_only,none,ac_true,1,0,Qg+Va,2,,,optimal,ok,1,9276.255499670237,812971.0319910981,87.64000000000058,0,0.09752106666564941,2.4858148097991943,13.956291198730469,16.442106008529663,16.442106008529663,16.539627075195312,acopf_acdc_paper_study/cases/pglib_opf_case4020_goc/logs/oracle_ac_primal_only__Qg_Va.log,0,55,2.566409603763695e-07,7.83072099923401e-12,1.2866364684782639e-07,9.12852503888341e-08,2.566409603763695e-07,9.527,,,9.527,False,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,21469.288,22126.607,-14795.214999999998,6988,0,0,2,1,822247.2874907682,42379.71658204748,2609.4677100480612,1.0122708486469782,1.1000000107720955,1.069016256984978,0.01695442829249703,-0.5459448160181049,2.0995180832252594e-27,-0.3240512607337996,0.09710094523522704,1379.1491354514073,1378.9375417759306,43.617819286673985,43.644964245090115,0.8401151300677736,0.839093771532004,0.19047884342608823,0.19026372137085207,0.0,0.0,41,336,29,36,0,13,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,0,0,9.36917217476644e-13,9.369172104811696e-13,2.6621007324039766e-15,0.0,9.369172104811696e-13,0.0007748608870276566,0.0007132262605498152,4.388246834561647e-06,2.424271287188029e-12,0.0007132262605498152,3.713618927463628e-11,4.667821684734008e-12,2.2175881915739895e-13,5.1736392947532295e-14,4.667821684734008e-12,5.862666122636418e-12,9.304640391505359e-13,7.709928604890903e-14,7.577272143066693e-14,9.304640391505359e-13,,,,,,,,,
