family,block,n_with,n_without,avg_solve_with,avg_solve_without,pct_better_when_included
oracle_ac_bounds_dual,Pg,144,126,38.33661821153429,46.732267122420055,17.965421812069355
oracle_ac_bounds_dual,Qg,144,126,43.2286392301321,41.14138595830826,-5.073366448906254
oracle_ac_bounds_dual,Vm,144,126,41.63496827913655,42.96272418801747,3.0904835155942814
oracle_ac_bounds_dual,Va,144,126,41.0870360682408,43.58893242904118,5.739751403348178
oracle_ac_constraint_dual,Pg,144,126,34.128661851088204,48.453440170439464,29.56400674330352
oracle_ac_constraint_dual,Qg,144,126,39.9993627568086,41.74406770675901,4.179527884552361
oracle_ac_constraint_dual,Vm,144,126,39.08968975974454,42.78369398911794,8.634140451530383
oracle_ac_constraint_dual,Va,144,126,38.66487677395344,43.26919454430777,10.641098866861274
oracle_ac_dual_only_bounds,Pg,0,18,,36.7281246582667,
oracle_ac_dual_only_bounds,Qg,0,18,,36.7281246582667,
oracle_ac_dual_only_bounds,Vm,0,18,,36.7281246582667,
oracle_ac_dual_only_bounds,Va,0,18,,36.7281246582667,
oracle_ac_dual_only_constraint,Pg,0,18,,48.00653460290697,
oracle_ac_dual_only_constraint,Qg,0,18,,48.00653460290697,
oracle_ac_dual_only_constraint,Vm,0,18,,48.00653460290697,
oracle_ac_dual_only_constraint,Va,0,18,,48.00653460290697,
oracle_ac_dual_only_full,Pg,0,18,,41.742600440979004,
oracle_ac_dual_only_full,Qg,0,18,,41.742600440979004,
oracle_ac_dual_only_full,Vm,0,18,,41.742600440979004,
oracle_ac_dual_only_full,Va,0,18,,41.742600440979004,
oracle_ac_primal_dual,Pg,144,126,39.448449252380264,53.703258673350014,26.5436581933968
oracle_ac_primal_dual,Qg,144,126,45.35226179990504,46.95604433332171,3.4154975279264903
oracle_ac_primal_dual,Vm,144,126,44.109845201174416,48.37594901758527,8.81864625510514
oracle_ac_primal_dual,Va,144,126,42.133298014601074,50.634860087954806,16.789938904908936
oracle_ac_primal_dual_all_bounds,Pg,144,126,28.35457568367322,26.673192981689695,-6.303642399084889
oracle_ac_primal_dual_all_bounds,Qg,144,126,27.897278991010452,27.195817773304288,-2.579298124267939
oracle_ac_primal_dual_all_bounds,Vm,144,126,26.666400222314728,28.602536366099404,6.769106484134896
oracle_ac_primal_dual_all_bounds,Va,144,126,14.962554348839653,41.978360221499486,64.35650589996966
oracle_ac_primal_only,Pg,144,126,18.40571015079816,27.45238883343954,32.95406726725978
oracle_ac_primal_only,Qg,144,126,24.90051159262657,20.029758614207072,-24.317582015015816
oracle_ac_primal_only,Vm,144,126,19.810833560095894,25.84653350852785,23.352067488820214
oracle_ac_primal_only,Va,144,126,16.895012140274048,29.178900845467098,42.09853129920531
dc_seed,Pg,36,18,19.86992068423165,17.38243231508467,-14.310358435788702
dc_seed,Qg,0,54,,19.04075789451599,
dc_seed,Vm,0,54,,19.04075789451599,
dc_seed,Va,36,18,18.033220794465805,21.05583209461636,14.355221330452137
