case_name,baseline_time_s,baseline_iter,best_oracle_primal_only,best_oracle_primal_only_time_s,best_oracle_primal_only_speedup_pct,best_oracle_primal_dual,best_oracle_primal_dual_time_s,best_oracle_primal_dual_speedup_pct,best_dc,best_dc_time_s,best_dc_speedup_pct,best_dc_end_to_end,best_dc_end_to_end_time_s,best_dc_end_to_end_speedup_pct,best_overall,best_overall_time_s,best_overall_speedup_pct
pglib_opf_case10000_goc,30.325716018676758,79,oracle_ac_primal_only__Pg_Qg_Vm_Va,23.84340238571167,21.375632578544273,oracle_ac_primal_dual__Pg_Qg_Vm_Va,11.308288097381592,62.710565216606476,dc_seed__Va,27.365476846694946,9.761481543118993,dc_seed__Va,34.36956477165222,-4.037288050310616,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,11.200982093811035,63.06441012996144
pglib_opf_case118_ieee,0.17411303520202637,23,oracle_ac_primal_only__Pg_Qg_Vm_Va,0.15967488288879395,8.29240171276067,oracle_ac_primal_dual__Pg_Qg_Vm_Va,0.11880874633789062,31.76343965284691,dc_seed__Pg,0.17080402374267578,1.9004961090426589,dc_seed__Pg,0.21802401542663574,-19.18176000708997,oracle_ac_primal_dual__Pg_Qg_Vm_Va,0.11880874633789062,31.76343965284691
pglib_opf_case1354_pegase,2.7192318439483643,38,oracle_ac_primal_only__Pg_Vm_Va,2.4394030570983887,10.290729254025656,oracle_ac_primal_dual__Pg_Qg_Vm_Va,1.3372488021850586,50.822552877898275,dc_seed__Pg_Va,2.4680891036987305,9.235797264163061,dc_seed__Pg_Va,3.040128231048584,-6.1694526885565715,oracle_ac_primal_dual_all_bounds__Qg_Vm_Va,1.3021221160888672,52.114339974844995
pglib_opf_case13659_pegase,45.01408386230469,66,oracle_ac_primal_only__Pg_Qg_Va,34.94896101951599,22.35994155424175,oracle_ac_primal_dual__Pg_Qg_Vm_Va,17.135863780975342,61.93221696260021,dc_seed__Pg_Va,37.47613191604614,16.745763324466797,dc_seed__Pg_Va,49.37718391418457,-2.8536856825451893,oracle_ac_primal_dual__Pg_Qg_Vm_Va,17.135863780975342,61.93221696260021
pglib_opf_case14_ieee,0.035614013671875,14,oracle_ac_primal_only__Pg_Qg,0.028171062469482422,20.898939588688947,oracle_ac_primal_dual__Pg_Qg_Vm,0.02669215202331543,25.051547772065124,dc_seed__Va,0.030183076858520508,15.24943766066838,dc_seed__Pg,0.04784417152404785,-27.34674451072471,oracle_ac_primal_dual__Pg_Qg_Vm,0.02669215202331543,25.051547772065124
pglib_opf_case2000_goc,4.932375907897949,43,oracle_ac_primal_only__Pg_Qg_Vm_Va,4.077515125274658,17.33162270244748,oracle_ac_primal_dual__Pg_Qg_Vm_Va,2.2702388763427734,53.972711757277835,dc_seed__Pg,5.211552619934082,-5.6600858744180895,dc_seed__Pg_Va,6.215941905975342,-20.779170662866818,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,2.2654829025268555,54.06913534511311
pglib_opf_case200_activ,0.2373816967010498,24,oracle_ac_primal_only__Pg_Qg_Vm_Va,0.20463275909423828,13.795898361976235,oracle_ac_primal_dual__Pg_Qg_Vm_Va,0.1665029525756836,29.858554855064675,dc_seed__Pg_Va,0.21743416786193848,8.403145278817577,dc_seed__Pg_Va,0.271378755569458,63.74161426578238,oracle_ac_primal_dual_all_bounds__Qg_Vm_Va,0.16187095642089844,31.809840998502487
pglib_opf_case30000_goc,165.3832447528839,188,oracle_ac_primal_only__Qg_Vm_Va,100.28216576576233,39.363769337332684,oracle_ac_primal_dual__Pg_Qg_Vm_Va,38.03726387023926,77.00053356246902,dc_seed__Va,107.18385004997253,35.190623324553265,dc_seed__Va,129.39011192321777,25.553954758800806,oracle_ac_primal_dual__Pg_Qg_Vm_Va,38.03726387023926,77.00053356246902
pglib_opf_case300_ieee,0.4886960983276367,31,oracle_ac_primal_only__Pg_Qg_Va,0.3816671371459961,21.90092401963176,oracle_ac_primal_dual__Pg_Qg_Vm_Va,0.27211713790893555,44.31771834476568,dc_seed__Va,0.413240909576416,15.440104598632022,dc_seed__Pg_Va,0.5042784214019775,2.0837837349874473,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,0.25519704818725586,47.78001112336199
pglib_opf_case3022_goc,8.974912166595459,53,oracle_ac_primal_only__Pg_Vm_Va,5.839343070983887,34.937044924875494,oracle_ac_primal_dual__Pg_Qg_Vm_Va,4.600553035736084,48.73985449284618,dc_seed__Va,6.528822183609009,27.25475121740773,dc_seed__Va,7.961561679840088,14.722558549249156,oracle_ac_primal_dual_all_bounds__Pg_Qg_Vm_Va,3.109109878540039,65.35776817836594
