family,n,avg_solve_time,median_solve_time,avg_total_time,median_total_time,avg_end_to_end_time,median_end_to_end_time,avg_full_pipeline_time_including_shared_case_prep,median_full_pipeline_time_including_shared_case_prep,avg_iterations,median_iterations,avg_objective,n_matching_objective,share_matching_objective
baseline,18,19.553690248065525,3.8258038759231567,20.7536531024509,4.0050013065338135,20.7536531024509,4.0050013065338135,20.822390450371635,4.016191363334656,52.166666666666664,39.0,9683.523144567289,0,
dc_seed,52,16.94560814362306,2.7426624298095703,18.741024168638084,3.1475363969802856,20.28948660997244,3.3363884687423706,20.358435658308174,3.344342350959778,47.75,37.5,9757.69967508642,0,0.0
oracle_ac_bounds_dual,188,9.786317590703355,0.745948076248169,10.41646982253866,0.8057911396026611,10.41646982253866,0.8057911396026611,10.442989263128727,0.8347878456115723,94.47340425531915,69.5,5235.5211263213805,0,0.0
oracle_ac_constraint_dual,217,12.055399947452106,1.4922082424163818,12.911938438767113,1.546915054321289,12.911938438767113,1.546915054321289,12.94715000407487,1.5931062698364258,73.11520737327189,42,6194.791597950707,0,0.0
oracle_ac_dual_only_bounds,14,8.635879840169634,1.7949455976486206,9.414474180766515,1.858664631843567,9.414474180766515,1.858664631843567,9.451584134783063,1.887661337852478,64.92857142857143,47.0,5512.376644786557,0,0.0
oracle_ac_dual_only_constraint,13,10.357331220920269,1.0229299068450928,11.14586798961346,1.0591328144073486,11.14586798961346,1.0591328144073486,11.168408705638004,1.0709350109100342,80.53846153846153,65,5525.313457765516,0,0.0
oracle_ac_dual_only_full,14,5.125751239912851,0.7318228483200073,5.694299629756382,0.8912638425827026,5.694299629756382,0.8912638425827026,5.720445070947919,0.9202605485916138,47.42857142857143,23.5,4879.719534811704,0,0.0
oracle_ac_primal_dual,190,10.74177022356736,0.7662004232406616,11.468515566775674,0.8245795965194702,11.468515566775674,0.8245795965194702,11.500435871826975,0.8535763025283813,85.13684210526316,49.0,6147.611920362692,0,0.0
oracle_ac_primal_dual_all_bounds,245,11.877404145805203,1.5553910732269287,13.290427171940706,1.9721572399139404,13.290427171940706,1.9721572399139404,13.341514549449998,1.9801111221313477,40.51428571428571,10,7587.700938943023,0,0.0
oracle_ac_primal_only,266,21.020598522702553,3.8955819606781006,22.81146942941766,4.471698045730591,22.81146942941766,4.471698045730591,22.87811687566284,4.482888102531433,50.545112781954884,34.0,9649.080993143885,0,0.0
