timestamp_utc,case_file,case_name,run_name,family,dual_mode,seed_source,is_oracle,is_practical,blocks,num_blocks,seed_vm_policy,seed_qg_policy,termination,status,success,objective,objective_gap_vs_baseline_abs,objective_gap_vs_baseline_rel,objective_matches_baseline,shared_case_prep_time,build_time,solve_time,total_time,end_to_end_time,full_pipeline_time_including_shared_case_prep,log_path,hit_max_iter,iterations,dual_inf,constr_viol,var_bound_viol,compl_inf,overall_nlp_error,ipopt_reported_total_sec,ipopt_cpu_sec_no_func_eval,ipopt_cpu_sec_func_eval,ipopt_cpu_total_est,restoration_used,baseMVA,nb,nl,ng_total,ng_active,n_load_buses,n_ref_buses,n_pv_buses,n_pq_buses,total_pd_mw,total_qd_mvar,sum_pmax_mw,sum_pmin_mw,sum_qmax_mvar,sum_qmin_mvar,n_branch_with_limits,n_branch_out_of_service,gencost_any_pwl,gencost_max_poly_degree,gencost_any_quadratic,objective_value,total_pg_mw,total_qg_mvar,vm_min,vm_max,vm_mean,vm_std,va_min_rad,va_max_rad,va_mean_rad,va_std_rad,max_line_mva_from,max_line_mva_to,mean_line_mva_from,mean_line_mva_to,max_thermal_util_from,max_thermal_util_to,mean_thermal_util_from,mean_thermal_util_to,max_flow_limit_violation_sq_from,max_flow_limit_violation_sq_to,n_pg_at_lb,n_pg_at_ub,n_qg_at_lb,n_qg_at_ub,n_vm_at_lb,n_vm_at_ub,init_has_Pg,init_Pg_l2,init_Pg_linf,init_Pg_mean_abs,init_Pg_median_abs,init_Pg_max_abs,init_has_Qg,init_Qg_l2,init_Qg_linf,init_Qg_mean_abs,init_Qg_median_abs,init_Qg_max_abs,init_has_Vm,init_Vm_l2,init_Vm_linf,init_Vm_mean_abs,init_Vm_median_abs,init_Vm_max_abs,init_has_Va,init_Va_l2,init_Va_linf,init_Va_mean_abs,init_Va_median_abs,init_Va_max_abs,init_has_duals,init_has_constraint_duals,init_has_bound_mults,dist_to_baseline_Pg_l2,dist_to_baseline_Pg_linf,dist_to_baseline_Pg_mean_abs,dist_to_baseline_Pg_median_abs,dist_to_baseline_Pg_max_abs,dist_to_baseline_Qg_l2,dist_to_baseline_Qg_linf,dist_to_baseline_Qg_mean_abs,dist_to_baseline_Qg_median_abs,dist_to_baseline_Qg_max_abs,dist_to_baseline_Vm_l2,dist_to_baseline_Vm_linf,dist_to_baseline_Vm_mean_abs,dist_to_baseline_Vm_median_abs,dist_to_baseline_Vm_max_abs,dist_to_baseline_Va_l2,dist_to_baseline_Va_linf,dist_to_baseline_Va_mean_abs,dist_to_baseline_Va_median_abs,dist_to_baseline_Va_max_abs,dc_seed_mode,dc_solver,dc_solver_problem_type,dc_termination,dc_status,dc_build_time,dc_solve_time,dc_total_time,dc_objective
2026-03-22T15:34:51Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,baseline_default,baseline,none,case_default,0,1,,0,,,optimal,ok,1,2204.4862438346313,,,,0.03871893882751465,0.3611578941345215,8.974912166595459,9.33607006072998,9.33607006072998,9.374788999557495,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/baseline_default.log,0,53,7.627346860786252e-08,1.586632008242217e-08,9.639247712522891e-09,3.361074564042833e-08,7.627346860786252e-08,5.137,,,5.137,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180869,59253.52959582177,4967.729321800277,0.9499999960695329,1.069151321925045,1.0153359918187455,0.023709289906683063,-1.642677523543171,0.06192846928503214,-0.6384623231707214,0.15968931484068116,1568.1569680530677,1513.0005897383278,71.2460376006938,71.32071708249603,1.0000000348508875,1.0000002353560524,0.3186264230415636,0.31890278597177674,5.6810659287975795e-08,1.5916661055825898e-07,199,13,6,19,19,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-22T15:35:00Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Pg,oracle_ac_primal_only,none,ac_true,1,0,Pg,1,,,optimal,ok,1,2204.4862438346318,599179.3610742525,271.7999999999999,0,0.03871893882751465,0.9638299942016602,8.196057081222534,9.159887075424194,9.159887075424194,9.198606014251709,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Pg.log,0,54,7.627428906543608e-08,1.5866344100969737e-08,9.639247712522891e-09,3.361074603179657e-08,7.627428906543608e-08,5.748,,,5.748,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180871,59253.52959582174,4967.729321799194,0.9499999960695329,1.069151321925046,1.0153359918187486,0.023709289906677755,-1.6426775235432372,0.061928469285012056,-0.6384623231707204,0.15968931484069177,1568.1569680530652,1513.000589738329,71.24603760069311,71.32071708249539,1.0000000348508917,1.0000002353561201,0.3186264230415569,0.3189027859717713,5.680952597231226e-08,1.5916658213654955e-07,199,13,6,19,19,95,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,0,0,0,4.1545307272005966e-12,1.7781331962396507e-12,7.354641870032341e-14,0.0,1.7781331962396507e-12,5.5380201339801996e-11,3.033573392485778e-11,6.404244014501798e-13,5.595524044110789e-14,3.033573392485778e-11,3.1935586241837096e-12,2.5148771953809046e-12,1.586083275894671e-14,5.440092820663267e-15,2.5148771953809046e-12,1.3116950676398373e-12,1.3788969965844444e-13,2.008739982939356e-14,1.9206858326015208e-14,1.3788969965844444e-13,,,,,,,,,
2026-03-22T15:35:09Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Qg,oracle_ac_primal_only,none,ac_true,1,0,Qg,1,,,optimal,ok,1,2204.486243834633,599179.3610742526,271.79999999999995,0,0.03871893882751465,1.457848072052002,7.219146013259888,8.67699408531189,8.67699408531189,8.715713024139404,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Qg.log,0,54,7.62740515874703e-08,1.5866347025279837e-08,9.639247712522891e-09,3.3610746031819515e-08,7.62740515874703e-08,4.906,,,4.906,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180872,59253.529595821885,4967.729321799882,0.9499999960695329,1.069151321925052,1.0153359918187463,0.023709289906674976,-1.642677523543276,0.0619284692849938,-0.6384623231707192,0.15968931484069687,1568.1569680530654,1513.0005897383287,71.24603760069343,71.32071708249568,1.0000000348509002,1.0000002353560853,0.3186264230415591,0.3189027859717731,5.681017611891548e-08,1.5916645423885711e-07,199,13,6,19,19,95,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,0,0,1.440434808953025e-11,1.042010921992187e-11,1.7501720638495658e-13,0.0,1.042010921992187e-11,5.741998942745083e-11,3.021316530293916e-11,7.581885342907247e-13,7.389922007661198e-14,3.021316530293916e-11,3.3108606762710065e-12,2.5215385335286555e-12,1.7990168513654654e-14,6.8833827526759706e-15,2.5215385335286555e-12,2.333043263687318e-12,1.291189377639057e-13,3.57637319457656e-14,3.907985046680551e-14,1.291189377639057e-13,,,,,,,,,
2026-03-22T15:35:24Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Vm,oracle_ac_primal_only,none,ac_true,1,0,Vm,1,,,optimal,ok,1,2204.486243834632,599179.3610742524,271.79999999999984,0,0.03871893882751465,0.9673938751220703,13.944164752960205,14.911558628082275,14.911558628082275,14.95027756690979,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Vm.log,0,112,7.627382488698064e-08,1.586632278772343e-08,9.639247712522891e-09,3.361074558473708e-08,7.627382488698064e-08,11.758,,,11.758,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.847318087,59253.52959578047,4967.7293214882275,0.9499999960695329,1.0691513219231727,1.0153359918209632,0.0237092899027775,-1.6426775234915152,0.06192846929297615,-0.6384623231659186,0.15968931483253365,1568.1569680524917,1513.000589738516,71.24603759806104,71.32071707988966,1.0000000348508886,1.0000002353560777,0.3186264230354491,0.3189027859656344,5.681020986969543e-08,1.5916668161253256e-07,199,13,6,19,19,95,0,,,,,,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,0,0,1.6229188291134692e-09,1.3085559302794536e-09,1.989944378789812e-11,0.0,1.3085559302794536e-09,2.6087291800628576e-08,1.768271418178813e-08,3.665024876878336e-10,1.2454509645820622e-11,1.768271418178813e-08,8.932029473610321e-10,1.5724810342732098e-10,7.597348774063391e-12,1.5013545962005992e-12,1.5724810342732098e-10,7.034643881398047e-10,6.066236402091363e-11,5.4711211914875006e-12,6.420974862919593e-13,6.066236402091363e-11,,,,,,,,,
2026-03-22T15:35:33Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Va,oracle_ac_primal_only,none,ac_true,1,0,Va,1,,,optimal,ok,1,2204.486243834633,599179.3610742526,271.79999999999995,0,0.03871893882751465,0.9702250957489014,8.38405990600586,9.35428500175476,9.35428500175476,9.393003940582275,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Va.log,0,50,7.627457372428093e-08,1.586637080747133e-08,9.639247712522891e-09,3.3610746418235065e-08,7.627457372428093e-08,6.097,,,6.097,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180872,59253.52959576519,4967.729321358429,0.9499999960695329,1.0691513219239634,1.0153359918202205,0.02370928990375464,-1.6426775234559274,0.06192846929831695,-0.6384623231629073,0.1596893148270912,1568.1569680499974,1513.0005897393332,71.24603759752846,71.32071707935485,1.000000034850873,1.0000002353560828,0.3186264230345815,0.3189027859647795,5.680934123120096e-08,1.5916665319082313e-07,199,13,6,19,19,95,0,,,,,,0,,,,,,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,0,0,6.791460723104091e-09,5.016183024508791e-09,6.883751376640147e-11,0.0,5.016183024508791e-09,2.9589123998992872e-08,1.8495220244219013e-08,3.8684812028586004e-10,1.864780552196521e-11,1.8495220244219013e-08,8.680932240050434e-10,1.7399015561636588e-10,7.591617238514257e-12,1.7061907442439406e-12,1.7399015561636588e-10,1.2135307150285012e-09,1.0201728350978101e-10,1.090794372660829e-11,2.739530824413805e-12,1.0201728350978101e-10,,,,,,,,,
2026-03-22T15:35:41Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Pg_Qg,oracle_ac_primal_only,none,ac_true,1,0,Pg+Qg,2,,,optimal,ok,1,2204.486243834634,599179.3610742526,271.79999999999995,0,0.03871893882751465,0.5398468971252441,6.690112113952637,7.229959011077881,7.229959011077881,7.2686779499053955,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Pg_Qg.log,0,54,7.627417826434474e-08,1.5866349805607888e-08,9.639247712522891e-09,3.361074603187545e-08,7.627417826434474e-08,4.425,,,4.425,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180872,59253.52959582174,4967.729321799833,0.9499999960695329,1.069151321925062,1.0153359918187463,0.02370928990667556,-1.6426775235432818,0.06192846928499551,-0.6384623231707224,0.1596893148406974,1568.1569680530683,1513.0005897383273,71.24603760069363,71.32071708249592,1.0000000348508853,1.0000002353560145,0.3186264230415581,0.31890278597177196,5.680999848323154e-08,1.591665395039854e-07,199,13,6,19,19,95,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,0,0,9.329977126902883e-12,5.417888360170764e-12,1.5419594118368368e-13,0.0,5.417888360170764e-12,5.880521356445278e-11,3.063782560985828e-11,7.96927159477465e-13,8.260059303211165e-14,3.063782560985828e-11,3.3336297996621025e-12,2.5230928457631308e-12,1.909745249652038e-14,7.549516567451064e-15,2.5230928457631308e-12,2.3066145137424634e-12,1.4410694859634532e-13,3.4945780551231257e-14,3.652633751016765e-14,1.4410694859634532e-13,,,,,,,,,
2026-03-22T15:35:53Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Pg_Vm,oracle_ac_primal_only,none,ac_true,1,0,Pg+Vm,2,,,optimal,ok,1,2204.486243834633,599179.3610742523,271.7999999999998,0,0.03871893882751465,0.9805991649627686,11.333064079284668,12.313663244247437,12.313663244247437,12.352382183074951,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Pg_Vm.log,0,83,7.627391170622974e-08,1.5866320340462287e-08,9.639247712522891e-09,3.3610745584380164e-08,7.627391170622974e-08,8.802,,,8.802,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180869,59253.52959578049,4967.7293214871115,0.9499999960695329,1.0691513219231878,1.015335991820966,0.023709289902777198,-1.6426775234915099,0.061928469292977115,-0.6384623231659178,0.15968931483253251,1568.15696805249,1513.0005897385172,71.24603759806064,71.32071707988923,1.0000000348508933,1.0000002353560495,0.31862642303544614,0.31890278596563093,5.68098119657634e-08,1.5916688766992593e-07,199,13,6,19,19,95,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,0,0,1.6234846777829326e-09,1.3084529015827684e-09,1.9918223660220667e-11,0.0,1.3084529015827684e-09,2.6087282490654315e-08,1.7682008079944467e-08,3.665575005195212e-10,1.2594231213469698e-11,1.7682008079944467e-08,8.933756685754112e-10,1.5728618407706563e-10,7.599210510065902e-12,1.503908109157237e-12,1.5728618407706563e-10,7.035560237092195e-10,6.065870028493237e-11,5.4737918183698724e-12,6.456501999707598e-13,6.065870028493237e-11,,,,,,,,,
2026-03-22T15:36:02Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Pg_Va,oracle_ac_primal_only,none,ac_true,1,0,Pg+Va,2,,,optimal,ok,1,2204.486243834631,599179.3610742522,271.7999999999997,0,0.03871893882751465,0.5417008399963379,8.073734045028687,8.615434885025024,8.615434885025024,8.654153823852539,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Pg_Va.log,0,43,7.627498783857746e-08,1.586639417332919e-08,9.639247712522891e-09,3.361074681159628e-08,7.627498783857746e-08,5.739,,,5.739,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180868,59253.52959576505,4967.729321359345,0.9499999960695329,1.0691513219239561,1.0153359918202176,0.02370928990374794,-1.6426775234558868,0.061928469298313964,-0.6384623231629082,0.15968931482708568,1568.1569680499929,1513.000589739334,71.24603759752652,71.32071707935266,1.0000000348508853,1.0000002353561286,0.31862642303457256,0.3189027859647692,5.681046921779398e-08,1.5916673845595142e-07,199,13,6,19,19,95,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,0,0,6.790021883973664e-09,5.014960891003284e-09,6.88190215929277e-11,0.0,5.014960891003284e-09,2.9595987879519323e-08,1.8502994025837438e-08,3.8723893255873525e-10,2.1246240877736966e-11,1.8502994025837438e-08,8.684440658214472e-10,1.7402956853374008e-10,7.596810121184931e-12,1.7216228442862302e-12,1.7402956853374008e-10,1.2139136492084962e-09,1.0209155743012843e-10,1.0909885432100175e-11,2.7478019859472624e-12,1.0209155743012843e-10,,,,,,,,,
2026-03-22T15:36:12Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Qg_Vm,oracle_ac_primal_only,none,ac_true,1,0,Qg+Vm,2,,,optimal,ok,1,2204.486243834631,599179.3610742523,271.7999999999998,0,0.03871893882751465,1.4015450477600098,8.49451494216919,9.8960599899292,9.8960599899292,9.934778928756714,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Qg_Vm.log,0,73,7.627397043693457e-08,1.5866319103604448e-08,9.639247712522891e-09,3.3610745584419114e-08,7.627397043693457e-08,6.232,,,6.232,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180869,59253.529595780536,4967.72932148783,0.9499999960695329,1.0691513219231874,1.0153359918209617,0.023709289902776792,-1.642677523491471,0.06192846929298446,-0.6384623231659129,0.15968931483252788,1568.1569680524865,1513.0005897385186,71.24603759806108,71.32071707988963,1.0000000348508917,1.0000002353561253,0.3186264230354479,0.31890278596563254,5.68094016273335e-08,1.5916666029625048e-07,199,13,6,19,19,95,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,0,0,1.6226654029875964e-09,1.3092487094468197e-09,1.9866247016029158e-11,0.0,1.3092487094468197e-09,2.6088799402195776e-08,1.7681296204941077e-08,3.665460325746197e-10,1.2571721441645423e-11,1.7681296204941077e-08,8.933264104012588e-10,1.5729539892817002e-10,7.600125984835942e-12,1.5074608228360376e-12,1.5729539892817002e-10,7.04096557922752e-10,6.070666191959617e-11,5.478425353175072e-12,6.538658503529859e-13,6.070666191959617e-11,,,,,,,,,
2026-03-22T15:36:21Z,test_cases/pglib_opf_case3022_goc.mat,pglib_opf_case3022_goc,oracle_ac_primal_only__Qg_Va,oracle_ac_primal_only,none,ac_true,1,0,Qg+Va,2,,,optimal,ok,1,2204.486243834632,599179.3610742525,271.7999999999999,0,0.03871893882751465,0.9378840923309326,8.09272813796997,9.030612230300903,9.030612230300903,9.069331169128418,acopf_acdc_paper_study/cases/pglib_opf_case3022_goc/logs/oracle_ac_primal_only__Qg_Va.log,0,49,7.62745496326268e-08,1.586639440274637e-08,9.639247712522891e-09,3.361074681137384e-08,7.62745496326268e-08,4.389,,,4.389,False,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,7502.474999999999,78429.07500000001,-78429.07500000001,4135,0,0,2,1,601383.8473180871,59253.52959576501,4967.729321358135,0.9499999960695329,1.0691513219239528,1.0153359918202125,0.023709289903747502,-1.642677523455927,0.06192846929829678,-0.638462323162908,0.159689314827091,1568.1569680499988,1513.0005897393328,71.24603759752665,71.32071707935279,1.000000034850892,1.000000235356043,0.3186264230345705,0.3189027859647679,5.6809893678178014e-08,1.5916668161253256e-07,199,13,6,19,19,95,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,,,,,,1,0.0,0.0,0.0,0.0,0.0,0,0,0,6.798851328061141e-09,5.022767979312448e-09,6.886591209154723e-11,0.0,5.022767979312448e-09,2.95924626536797e-08,1.8498928611165866e-08,3.872405384188978e-10,2.1095103094892487e-11,1.8498928611165866e-08,8.684250581475419e-10,1.7402868035532038e-10,7.598593017392245e-12,1.6919798895287386e-12,1.7402868035532038e-10,1.2132991478041935e-09,1.0203971001487844e-10,1.089813912003685e-11,2.7310376182754226e-12,1.0203971001487844e-10,,,,,,,,,
